,title,label
0,정유사 '빅4' 1분기 역대급 실적…고유가에 정제마진 초강세 영향(종합),0
1,라이프스타일 가전업체 '루메나' 사모펀드와 손잡았다,0
2,"KB증권, 'KB able 인플레파이터랩' 판매 개시",0
3,한전기술 1분기 영업손실 45억원…적자 전환,0
4,클래시스 1분기 영업이익 167억원…53.3% 증가,1
5,"GS칼텍스, 1분기 영업이익 1조812억원…분기 역대 최대",0
6,지난밤 美증시 충격에 코스피 2600선 붕괴 마감,0
7,씨에스윈드 1분기 영업이익 85억원…73.2% 감소,0
8,"""애들 적금 깨서 몰빵했는데, 후회중""…개미 삼전 '줍줍' LG 시총 맞먹었다",0
9,키움증권 1분기 영업이익 2천132억원…작년 동기 대비 38.6%하락,0
10,원익홀딩스 1분기 영업이익 91억원…66.4% 줄어,0
11,[코스닥] 4.70p(0.55%) 내린 856.14(장종료),0
12,"[코스피] 14.25p(0.55%) 내린 2,596.56(장종료)",0
13,GS 1분기 영업이익 1조2천427억원…작년 동기 대비 75.9%상승(종합),1
14,애경산업 1분기 영업이익 78억원…작년 동기 대비 2%상승,1
15,GS 1분기 영업이익 1조2천427억원…작년 동기 대비 75.9%상승,1
16,현대백화점 1분기 영업이익 889억원…작년 동기 대비 36.7%상승(종합),1
17,현대백화점 1분기 영업이익 889억원…작년 동기 대비 36.7%상승,1
18,쌍용양회 1분기 영업이익 4억5천만원…작년 동기 대비 98.6%하락,0
19,AP시스템 1분기 영업이익 115억원…작년 동기보다 5.7%하락,0
20,美 IPO시장도 '찬바람'…쿠팡·로빈후드 공모가보다 70% 이상하락,0
21,SPC삼립 1분기 영업이익 136억원…작년동기보다 30.1%상승,1
22,"대우조선해양건설, 1045억 원 규모 충북 옥천 공동주택 수주",0
23,"""테슬라 대항마 맞아?"" 리비안, 고점 대비 87% 폭락",0
24,"""파트론, 신사업 부문 고른 성장""...저점매수는 DSR무관 골드스탁 상품으로",1
25,"엔케이맥스, 美 ASGCT 학회서 슈퍼NK 효능 구두발표",0
26,"트위터 인수 머스크 ""EU 디지털 콘텐츠 규제안 준수할 것""",0
27,"미국 7대 빅테크 시총, 사흘만에 1조달러 이상 증발",0
28,"""LS일렉트릭, 수주 잔고 확대""...비중확대는 DSR무관 야호스탁 상품으로",0
29,SKT 1분기 영업익 4천324억원…작년 동기 대비 15.55%상승(종합),1
30,연준 긴축 등에 4월 채권발행 69.8조원으로 감소(종합),0
31,"""원익IPS, 매분기 성장 모멘텀 기대""...대비는 DSR무관 골드스탁 재원으로",1
32,연준 긴축 등에 4월 채권발행 69.8조원으로 감소,0
33,교직원공제회 기금운용부문 전문인력 채용,0
34,NHN 1분기 적자 전환…영업이익 작년 대비 38.2%하락(종합2보),0
35,SK텔레콤 1분기 영업이익 4천324억원…작년 동기 대비 15.6%상승,1
36,"SKC, 올해 1분기 매출 1조원 돌파…분기 사상 최초(종합)",0
37,"""LG전자, B2B 사업 변화 긍정적""...투자는 DSR무관 야호스탁 자금으로",0
38,美증시 폭락에…코스피 시총 상위주 줄줄이 약세,0
39,SKC 1분기 영업이익 1천330억원…작년 동기 대비 57.6%상승,1
40,"코스피, 장 초반 2600선 붕괴…장중 연중 최저치",0
41,"""삼성SDS, IT서비스 부문 고성장""...선점은 DSR무관 골드스탁 자금으로",1
42,"증권가 ""CJ제일제당 바이오 사업 강세…목표주가 상향""",1
43,"[코스피] 20.68p(0.79%) 내린 2,590.13(개장)",0
44,[코스닥] 12.76p(1.48%) 내린 848.08(개장),0
45,NHN 1분기 영업이익 155억원…작년 동기 대비 38.2%하락(종합),0
46,"비트코인, 3만1000달러선 붕괴…""다음 지지선은 2만4000달러""",0
47,골드만삭스 S&P500 3600까지 하락 전망…모건스탠리는 3460까지도 경고,0
48,KG스틸 1분기 영업이익 959억원…97.7% 증가(종합),1
49,NHN 1분기 영업이익 155억원…작년 대비 38.2%하락,0
50,KG스틸 1분기 영업이익 959억원…작년 동기 대비 97.7%상승,1
51,NHN한국사이버결제 1분기 영업이익 85억원…작년 대비 6.5%하락,0
52,"스태그플레이션공포에 S&P 500지수 4,000선 붕괴…나스닥 4.3%하락(종합)",0
53,"나스닥 4.3% 폭락…S&P 500, 1년여 만에 4000선 붕괴",0
54,"뉴욕증시, 폭락장 재연…S&P500지수, 4,000 하향 돌파 마감",0
55,"S&P 500, 1년여 만에 4,000선 붕괴…나스닥 4.3%하락",0
56,"뉴욕증시, 국채금리 상승에 하락세로 출발",1
57,코스피 닷새째 내려 연중최저 '털썩'…美 긴축 충격에 경기침체 공포 겹쳐,0
58,"증권가 ""붐&쇼크 펀드 개발""…서학개미 ""월요일이 기다려진다""",0
59,"오기석 크래프트 홍콩법인장, ""성장주 편식 서학개미들에 필수적인 지표""",0
60,매경·크래프트 '붐&쇼크지수' Q&A,0
61,"'시가총액 100조 증발 사건'…삼성 SK, 이것에 당했다",0
62,美연준 '시장 달래기' 불구…국내 증시 투자심리 악화,0
63,"""원스토어, 성장 가능성 커 예정대로 상장…흑자전환 목표""",1
64,'핵심 원자재' 리튬 가격 하락에…2차전지 양극재 생산업체 주목,0
65,SK케미칼 1분기 영업이익 487억원…작년 동기 대비 40.5%하락(종합),0
66,주식서 재미 못 본 서학개미들...채권 ETF 담으며 위안 삼는다,0
67,"美, 레버리지·인버스 규제나서나…현실화땐 국내 증권사도 후폭풍",0
68,"BGF리테일, 순익 63.5% 증가",1
69,금방 회복될 줄 알았는데...믿던 여행주에 발등 찍혔다,0
70,현대홈쇼핑 1분기 영업이익 363억원…작년 동기 대비 18.2%하락,0
71,[해외주식 포커스] 원격의료 기업 텔라닥 주가 올해 65% 급락,0
72,'신한TRF OCIO솔루션펀드' 출시,0
73,CJ제일제당 1분기 영업이익 13.1% 증가…바이오사업 128%상승(종합),1
74,"코스피, 외국인·기관 매도 공세에 2610선 후퇴",0
75,SK케미칼 1분기 영업이익 487억원…작년 동기 대비 40.5%하락,0
76,웹젠 1분기 영업익 작년 대비 40.3% 감소…'뮤' 이외 IP 부진(종합),0
77,메가스터디교육 1분기 영업이익 255억원…작년 대비 98.1%상승,1
78,"HK이노엔, 1분기 영업이익 42억원…67.5% 감소(종합)",0
79,롯데렌탈 1분기 영업이익 43%상승…장기렌터카-중고차 사업 호실적,1
80,CJ대한통운 1분기 영업이익 757억원…작년 동기 대비 57.2%상승,1
81,BGF리테일 1분기 영업이익 378억원…작년 동기 대비 75%상승(종합),1
82,롯데쇼핑 1분기 영업익 11.2% 증가한 687억원…마트 실적 개선(종합),1
83,CJ제일제당 1분기 영업이익 4천357억원…작년 동기 대비 13.1%상승,1
84,'첼시 인수' 벽 높았지만…'잃은 건 없다'는 하나금투,0
85,웹젠 1분기 영업이익 223억원…작년 동기 대비 40.3%하락,0
86,BGF리테일 1분기 영업이익 378억원…전년 동기보다 75% 늘어,0
87,HK이노엔 1분기 영업이익 42억원…67.5%하락,0
88,"'반도체 디자인 솔루션' 가온칩스, 기관 수요예측 흥행",0
89,BGF리테일 1분기 영업이익 378억원…작년 동기 대비 75%상승,1
90,롯데쇼핑 1분기 영업이익 687억원…작년 동기 대비 11.2%상승,1
91,[코스닥] 23.38p(2.64%) 내린 860.84(장종료),0
92,"[코스피] 33.70p(1.27%) 내린 2,610.81(장종료)",0
93,"대우조선해양건설, 임원인사 단행…장세웅, 신용구 각자대표이사 취임",0
94,"""남궁훈 평생 최저임금 받을 판""…카카오 주주들 분통",0
95,"KB증권, 초부유층 전담관리 조직 'GWS본부' 신설",0
96,SK네트웍스 1분기 영업이익 433억원…63.9% 증가(종합),1
97,"광주은행, 펀드 가입 고객에게 최대 5만원 문화상품권",0
98,"삼정사랑나눔회, 법적 사각지대 틈새가정에 의료·주거비 지원",0
99,SK네트웍스 1분기 영업이익 433억원…작년 동기 대비 63.9%상승,1
100,한섬 1분기 영업이익 591억원…작년 동기 대비 30.7%상승,1
101,"하나금융투자, 하나은행 홍콩 계열사 인수 추진",0
102,"원스토어 ""SK쉴더스 상장 철회 여파 없어…5월 코스피 입성""",0
103,케어젠 1분기 영업이익 84억원…작년 동기 대비 7.9%상승,1
104,증시 구원투수 나선 연기금도 물렸다…어떤 종목 사들였나,0
105,"""외인 통신3사 집중 매수""...저점매수는 DSR무관 골드스탁 재원으로",1
106,"태림페이퍼 이달 코스피 상장…""글로벌 친환경 포장재기업 목표""",0
107,"""HMM, 실적 기대로 다시 꿈틀""...비중확대는 DSR무관 야호스탁 상품으로",1
108,"해수부, 올해 수산일반펀드·벤처창업펀드 운용사 2곳 선정",0
109,"국내 CEO 72% ""올해 M&A 계획 있어""…M&A 관심도 사상 최대치",0
110,"""두산, 전자BG 높은 성장세 지속""...대비는 DSR무관 골드스탁 상품으로",0
111,"코스피, 장중 낙폭 확대…1% 넘게 밀려 두 달 만에 최저",0
112,"'차량 탁송, 물류 서비스 플랫폼' 로드윈휴먼, 시리즈C 175억원 투자 유치",0
113,"약세장, 박세익이 말한다 투자 족집게 강의 모음집",0
114,"유안타증권 ""하나투어·F&F 등 코스피200 편입 예상""",0
115,"""한국금융지주, IB 부문 실적 선전""...투자는 DSR무관 야호스탁 자금으로",0
116,"코스피, 외인·기관 매도에 약세 출발…2,630대 등락(종합)",0
117,"""대한항공, 미주·유럽 노선 빠른 회복""...선점은 DSR무관 골드스탁 자금으로",0
118,"군인공제회·한화시스템, 국내 최초 방산 벤처투자펀드 결성",0
119,"코스피 하락 출발…2,630대",0
120,"[코스피] 10.19p(0.39%) 내린 2,634.32(개장)",0
121,[코스닥] 3.88p(0.44%) 내린 880.34(개장),0
122,돈버는 서학개미 첫걸음…월요일엔 '붐&쇼크지수' 챙겨본다,0
123,'테슬라 족집게' 명성…토종 인공지능 핀테크,0
124,"70여개 美 시장지표, AI가 분석…투자 위험 한발앞서 경고",0
125,AI가 美증시 투자위험 조기 경보…韓기술로 만든 '공포지수' 나왔다,0
126,시들해진 ESG…관련회사채 발행 급감,0
127,"우리자산, 채권형ETF 출시…""국채 금리 곧 정점""",0
128,전자상거래株 하락에도 전통 유통株는 끄떡없네,0
129,유통시장 지각변동에 리츠 수익률 '희비'…새로운 트렌드 '주목',0
130,"SK에코플랜트, 청주 폐기물社 2천억에 인수",0
131,하락장에 혼자 웃은 저변동 ETF,0
132,"과거 금리 인상기 업종별 주가…車 상승, 보험·통신은 떨어져",1
133,美증시 흔들리자 금·에너지로 돈 몰린다…1~4월 504억달러 순유입,0
134,부품 공급난·우크라 리스크에도…대장주 애플은 달릴까,0
135,빅스텝 시기엔 B2B가 답…석유시추·광섬유·첨단소재株 담아라,0
136,우린 안중에도 없나…중복 상장에 뿔난 카겜 주주들,0
137,뉴욕증시 도망치는 투자자들 '방어주 vs 고배당주' 저울질,0
138,24만8500원→9만7100원…카카오페 주주들 악소리,0
139,"""대통령도 속수무책"" 文 '뉴딜펀드' 수익률-17%",0
140,CPI·국채금리·연준 발언에 변동성 지속,0
141,"증시에 긴축 한파…주식 거래대금, 코로나 초기 수준으로 급감",0
142,코스피 중·대형주 급락 속 소형주 '나홀로 상승',1
143,"코스닥 시총 1위자리 굳힌다…에코프로비엠, 증권가 목표가상승",1
144,"美증시, 4월고용 보고서에 하락…나스닥 1.40%하락",0
145,주식투자도 망친 美 빅테크 기업들…1분기 총 22조원 손실,0
146,"뉴욕증시, 4월 고용 보고서에 하락 출발",0
147,금주 연기금이 집중 매집중인 테마와 주도주 분석,0
148,"우리자산·마이다스에셋, 올해 국민연금 주식 위탁운용사로 선정",0
149,삼성전자·SK하이닉스 부진 속…소부장은 '훨훨',0
150,"'빅스텝'에 코스피 내렸지만…""저평가 매력에 낙폭 제한적""",0
151,수소법 개정안 통과 기대감에…관련주 '급반등' 보여,1
152,"코스피, 외국인 기관 쌍끌이 매도에 1.23%하락",0
153,시진핑 제로코로나 천명 속 中증시 급락…상하이지수 2.16%하락,0
154,"[코스피] 33.06p(1.23%) 내린 2,644.51(장종료)",0
155,[코스닥] 15.84p(1.76%) 내린 884.22(장종료),0
156,"미래에셋證, 미국주식 거래정보 무료제공",0
157,원익IPS 1분기 영업이익 220억원…9.2% 감소,0
